"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"486D";"Agents de maîtrise en maintenance, installation en mécanique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"486E";"Agents de maîtrise en entretien général, installation, travaux neufs (hors mécanique, électromécanique, électronique)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"487A";"Responsables d'entrepôt, de magasinage"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"487B";"Responsables du tri, de l'emballage, de l'expédition et autres responsables de la manutention"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"488A";"Maîtrise de restauration  : cuisine/production"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"488B";"Maîtrise de restauration  : gestion d'établissement"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"525B";"Agents de service des autres établissements d'enseignement"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"526B";"Assistants dentaires, médicaux et vétérinaires, aides de techniciens médicaux"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"526C";"Auxiliaires de puériculture"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"526D";"Aides médico-psychologiques"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"526E";"Ambulanciers salariés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"533B";"Agents techniques forestiers, gardes des espaces naturels"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"534A";"Agents civils de sécurité et de surveillance"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"534B";"Convoyeurs de fonds, gardes du corps, enquêteurs privés et métiers assimilés (salariés)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"541B";"Agents d'accueil qualifiés, hôtesses d'accueil et d'information"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"541C";"Agents d'accueil non qualifiés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"541D";"Standardistes, téléphonistes"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"542A";"Secrétaires"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"542B";"Dactylos, sténodactylos (sans secrétariat), opérateurs de traitement de texte"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"543B";"Employés qualifiés des services comptables ou financiers"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"543C";"Employés non qualifiés des services comptables ou financiers"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"543E";"Employés qualifiés des services du personnel et des services juridiques"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"6";"Ouvriers"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"543F";"Employés qualifiés des services commerciaux des entreprises (hors vente)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"543G";"Employés administratifs qualifiés des autres services des entreprises"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"543H";"Employés administratifs non qualifiés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"544A";"Employés et opérateurs d'exploitation en informatique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"545A";"Employés administratifs des services techniques de la banque"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"545B";"Employés des services commerciaux de la banque"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"545C";"Employés des services techniques des assurances"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"545D";"Employés des services techniques des organismes de sécurité sociale et assimilés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"546A";"Contrôleurs des transports (personnels roulants)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"546B";"Agents des services commerciaux des transports de voyageurs et du tourisme"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"546C";"Employés administratifs d'exploitation des transports de marchandises"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"546D";"Hôtesses de l'air et stewards"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"546E";"Autres agents et hôtesses d'accompagnement (transports, tourisme)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"551A";"Employés de libre service du commerce et magasiniers"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"552A";"Caissiers de magasin"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"553B";"Vendeurs polyvalents des grands magasins"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"553C";" Autres vendeurs non spécialisés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"554A";"Vendeurs en alimentation"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"554B";"Vendeurs en ameublement, décor, équipement du foyer"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"554C";"Vendeurs en droguerie, bazar, quincaillerie, bricolage"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"554D";"Vendeurs du commerce de fleurs"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"554E";"Vendeurs en habillement et articles de sport"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"554F";"Vendeurs en produits de beauté, de luxe (hors biens culturels) et optique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"554G";"Vendeurs de biens culturels (livres, disques, multimédia, objets d'art)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"554H";"Vendeurs de tabac, presse et articles divers"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"554J";"Pompistes et gérants de station-service (salariés ou mandataires)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"555A";"Vendeurs par correspondance, télévendeurs"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"556A";"Vendeurs en gros de biens d'équipement, biens intermédiaires"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"561B";"Serveurs, commis de restaurant, garçons qualifiés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"561C";"Serveurs, commis de restaurant, garçons non qualifiés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"561D";"Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"561E";"Employés de l'hôtellerie : réception et hall"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"561F";"Employés d'étage et employés polyvalents de l'hôtellerie"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"562A";"Manucures, esthéticiens "
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"562B";"Coiffeurs salariés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"563A";"Assistantes maternelles, gardiennes d'enfants, familles d'accueil"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"563B";"Aides à domicile, aides ménagères, travailleuses familiales"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"563C";"Employés de maison et personnels de ménage chez des particuliers"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"564A";"Concierges, gardiens d'immeubles"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"564B";"Employés des services divers"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"632B";"Ouvriers qualifiés du travail de la pierre"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"632C";"Charpentiers en bois qualifiés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"632D";"Menuisiers qualifiés du bâtiment"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"632E";"Couvreurs qualifiés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"632F";"Plombiers et chauffagistes qualifiés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"632G";"Peintres et ouvriers qualifiés de pose de revêtements sur supports verticaux"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"632H";"Soliers moquetteurs et ouvriers qualifiés de pose de revêtements souples sur supports horizontaux"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"632J";"Monteurs qualifiés en agencement, isolation"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"633A";"Électriciens qualifiés de type artisanal (y.c. bâtiment)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"633B";"Dépanneurs qualifiés en radiotélévision, électroménager, matériel électronique (salariés)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"633C";"Électriciens, électroniciens qualifiés en maintenance entretien, réparation : automobile"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"633D";"Électriciens, électroniciens qualifiés en maintenance, entretien : équipements non industriels"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"634A";"Carrossiers d'automobiles qualifiés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"634B";"Métalliers, serruriers qualifiés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"634C";"Mécaniciens qualifiés en maintenance, entretien, réparation : automobile"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"634D";"Mécaniciens qualifiés de maintenance, entretien : équipements non industriels"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"635A";"Tailleurs et couturières qualifiés, ouvriers qualifiés du travail des étoffes (sauf fabrication de vêtements), ouvriers qualifiés de type artisanal du travail du cuir"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"636A";"Bouchers (sauf industrie de la viande)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"636B";"Charcutiers (sauf industrie de la viande)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"636C";"Boulangers, pâtissiers (sauf activité industrielle)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"636D";"Cuisiniers et commis de cuisine"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"637A";"Modeleurs (sauf modeleurs de métal), mouleurs-noyauteurs à la main, ouvriers qualifiés du travail du verre ou de la céramique à la main"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"637B";"Ouvriers d'art"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"637C";"Ouvriers et techniciens des spectacles vivants et audiovisuels"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"637D";"Ouvriers qualifiés divers de type artisanal"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"641A";"Conducteurs routiers et grands routiers"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"641B";"Conducteurs de véhicule routier de transport en commun"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"642A";"Conducteurs de taxi"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"642B";"Conducteurs de voiture particulière"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"643A";"Conducteurs livreurs, coursiers"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"644A";"Conducteurs de véhicule de ramassage des ordures ménagères"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"651A";"Conducteurs d'engin lourd de levage"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"651B";"Conducteurs d'engin lourd de manœuvre"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"652A";"Ouvriers qualifiés de la manutention, conducteurs de chariots élévateurs, caristes"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"652B";"Dockers"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"653A";"Magasiniers qualifiés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"654B";"Conducteurs qualifiés d'engins de transport guidés (sauf remontées mécaniques)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"654C";"Conducteurs qualifiés de systèmes de remontées mécaniques"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"655A";"Autres agents et ouvriers qualifiés (sédentaires) des services d'exploitation des transports"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"656B";"Matelots de la marine marchande"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"656C";"Capitaines et matelots timoniers de la navigation fluviale"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"671A";"Ouvriers non qualifiés des travaux publics de l'Etat et des collectivités locales"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"671C";"Ouvriers non qualifiés des travaux publics et du travail du béton"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"671D";"Aides-mineurs, ouvriers non qualifiés de l'extraction"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"672A";"Ouvriers non qualifiés de l'électricité et de l'électronique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"673A";"Ouvriers de production non qualifiés travaillant par enlèvement de métal"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"673B";"Ouvriers de production non qualifiés travaillant par formage de métal"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"673C";"Ouvriers non qualifiés de montage, contrôle en mécanique et travail des métaux"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"674A";"Ouvriers de production non qualifiés : chimie, pharmacie, plasturgie"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"674B";"Ouvriers de production non qualifiés de la transformation des viandes"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"674C";"Autres ouvriers de production non qualifiés : industrie agroalimentaire"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"674D";"Ouvriers de production non qualifiés : métallurgie, production verrière, céramique, matériaux de construction"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"674E";"Ouvriers de production non qualifiés : industrie lourde du bois, fabrication des papiers et cartons"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"675A";"Ouvriers de production non qualifiés du textile et de la confection, de la tannerie-mégisserie et du travail du cuir"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"675B";"Ouvriers de production non qualifiés du travail du bois et de l'ameublement"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"675C";"Ouvriers de production non qualifiés de l'imprimerie, presse, édition"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"676A";"Manutentionnaires non qualifiés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"676B";"Déménageurs (hors chauffeurs-déménageurs), non qualifiés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"676C";"Ouvriers du tri, de l'emballage, de l'expédition, non qualifiés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"676D";"Agents non qualifiés des services d'exploitation des transports"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"676E";"Ouvriers non qualifiés divers de type industriel"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"681A";"Ouvriers non qualifiés du gros œuvre du bâtiment"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"681B";"Ouvriers non qualifiés du second œuvre du bâtiment"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"682A";"Métalliers, serruriers, réparateurs en mécanique non qualifiés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"683A";"Apprentis boulangers, bouchers, charcutiers"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"684A";"Nettoyeurs"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"684B";"Ouvriers non qualifiés de l'assainissement et du traitement des déchets"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"685A";"Ouvriers non qualifiés divers de type artisanal"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"691A";"Conducteurs d'engin agricole ou forestier"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"691B";"Ouvriers de l'élevage"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"691C";"Ouvriers du maraîchage ou de l'horticulture"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"691D";"Ouvriers de la viticulture ou de l'arboriculture fruitière"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"691E";"Ouvriers agricoles sans spécialisation particulière"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"691F";"Ouvriers de l'exploitation forestière ou de la sylviculture"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"692A";"Marins-pêcheurs et ouvriers de l'aquaculture"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"621A";"Chefs d'équipe du gros œuvre et des travaux publics"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"621B";"Ouvriers qualifiés du travail du béton"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"621C";"Conducteurs qualifiés d'engins de chantiers du bâtiment et des travaux publics"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"621D";"Ouvriers des travaux publics en installations électriques et de télécommunications"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"621E";"Autres ouvriers qualifiés des travaux publics"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"621G";"Mineurs de fond qualifiés et autres ouvriers qualifiés des industries d'extraction (carrières, pétrole, gaz...)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"622A";"Opérateurs qualifiés sur machines automatiques en production électrique ou électronique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"622C";"Monteurs câbleurs qualifiés en électricité"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"622D";"Câbleurs qualifiés en électronique (prototype, unité, petite série)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"622E";"Autres monteurs câbleurs en électronique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"622F";"Bobiniers qualifiés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"622G";"Plateformistes, contrôleurs qualifiés de matériel électrique ou électronique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"623A";"Chaudronniers-tôliers industriels, opérateurs qualifiés du travail en forge, conducteurs qualifiés d'équipement de formage, traceurs qualifiés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"623B";"Tuyauteurs industriels qualifiés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"623D";"Opérateurs qualifiés sur machine de soudage"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"623E";"Soudeurs manuels"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"623F";"Opérateurs qualifiés d'usinage des métaux travaillant à l'unité ou en petite série, moulistes qualifiés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"623G";"Opérateurs qualifiés d'usinage des métaux sur autres machines (sauf moulistes)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"624B";"Monteurs, metteurs au point très qualifiés d'ensembles mécaniques travaillant à l'unité ou en petite série"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"624C";"Monteurs qualifiés d'ensembles mécaniques travaillant en moyenne ou en grande série"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"624D";"Monteurs qualifiés en structures métalliques"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"624E";"Ouvriers qualifiés de contrôle et d'essais en mécanique"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"624F";"Ouvriers qualifiés des traitements thermiques et de surface sur métaux"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"624G";"Autres mécaniciens ou ajusteurs qualifiés (ou spécialité non reconnue)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"625A";"Pilotes d'installation lourde des industries de transformation : agroalimentaire, chimie, plasturgie, énergie"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"625B";"Ouvriers qualifiés et agents qualifiés de laboratoire : agroalimentaire, chimie, biologie, pharmacie"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"625C";"Autres opérateurs et ouvriers qualifiés de la chimie (y.c. pharmacie) et de la plasturgie"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"625D";"Opérateurs de la transformation des viandes"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"625F";"Autres opérateurs travaillant sur installations ou machines : industrie agroalimentaire (hors transformation des viandes)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"625G";"Autres ouvriers de production qualifiés ne travaillant pas sur machine : industrie agroalimentaire (hors transformation des viandes)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"625H";"Ouvriers qualifiés des autres industries (eau, gaz, énergie, chauffage)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"626A";"Pilotes d'installation lourde des industries de transformation : métallurgie, production verrière, matériaux de construction"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"626B";"Autres opérateurs et ouvriers qualifiés : métallurgie, production verrière, matériaux de construction"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"626C";"Opérateurs et ouvriers qualifiés des industries lourdes du bois et de la fabrication du papier-carton"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"627A";"Opérateurs qualifiés du textile et de la mégisserie"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"627B";"Ouvriers qualifiés de la coupe des vêtements et de l'habillement, autres opérateurs de confection qualifiés"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"627C";"Ouvriers qualifiés du travail industriel du cuir"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"627D";"Ouvriers qualifiés de scierie, de la menuiserie industrielle et de l'ameublement"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"627E";"Ouvriers de la photogravure et des laboratoires photographiques et cinématographiques"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"627F";"Ouvriers de la composition et de l'impression, ouvriers qualifiés de la brochure, de la reliure et du façonnage du papier-carton"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"628A";"Mécaniciens qualifiés de maintenance, entretien : équipements industriels"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"628B";"Électromécaniciens, électriciens qualifiés d'entretien : équipements industriels"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"628C";"Régleurs qualifiés d'équipements de fabrication (travail des métaux, mécanique)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"628D";"Régleurs qualifiés d'équipements de fabrication (hors travail des métaux et mécanique)"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"628E";"Ouvriers qualifiés de l'assainissement et du traitement des déchets"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"628G";"Ouvriers qualifiés divers de type industriel"
"PCS_ESE";"Profession et catégorie socio-professionnelle des emplois salariés des employeurs privés et publics";"631A";"Jardiniers"
